firstAffiliation,nation,city_state,cleaned_city_state
"department of anesthesiology, erasmus university medical centre, rotterdam, the netherlands.",netherlands,,
"department of anesthesiology and operative intensive care medicine, medical center cologne-merheim, cologne, germany.",germany,,
"clinical pharmacology, department of public health, university of southern denmark, odense.",denmark,,
"the george institute for global health and sydney medical school, university of sydney, sydney, australia.",australia,,
"unità operativa complessa di pneumologia, irccs fondazione policlinico universitario a. gemelli, università cattolica del sacro cuore, rome, italy.",italy,,
"department of endocrinology, turku university hospital, turku, finland.",finland,,
"department of anesthesiology and critical care medicine, university of pennsylvania/children's hospital of philadelphia, philadelphia.",usa," philadelphia, pa","philadelphia, pa"
"department of medicine, university of otago christchurch, christchurch, new zealand.",new zealand,,
"therapeutics initiative, university of british columbia, vancouver, canada.",canada,,
"department of psychiatry, clinic dr fontheim, liebenburg, germany.",germany,,
"department of surgery, mikkeli central hospital, mikkeli, finland.",finland,,
"department of biostatistics and medical informatics, university of wisconsin-madison, madison.",usa," madison, wi","madison, wi"
"department of obstetrics and gynecology, beth israel deaconess medical center, boston, massachusetts.",usa," boston, ma","boston, ma"
"department of oncology, third affiliated hospital of soochow university, changzhou, jiangsu, china.",china,,
"division of allergy and infectious diseases, university of washington, seattle.",usa," seattle, wa","seattle, wa"
"department of public health and primary care, leiden university medical center, leiden, the netherlands.",netherlands,,
"digestive surgery unit, fondazione policlinico agostino gemelli, rome, italy.",italy,,
"department of public health, section of epidemiology, university of copenhagen, copenhagen, denmark.",denmark,,
fishbein fellow.,unknown.,,
"department of obstetrics and gynecology, university of alabama, birmingham.",usa," Birmingham, AL.","Birmingham, AL."
"rti international, university of north carolina at chapel hill evidence-based practice center.",usa," chapel hill,nc","chapel hill,nc"
"department of intensive care, hospital de sant pau-universitat autònoma de barcelona, barcelona, spain.",spain,,
"hematology-oncology and stem cell transplantation research center, tehran university of medical sciences, tehran, iran.",iran,,
"mrc centre for transplantation, king's college london, guy's hospital, london, england.",uk (united kingdom),,
"national center for immunization and respiratory diseases, centers for disease control and prevention, atlanta, georgia.",usa," atlanta, georgia.","atlanta, georgia."
"department of anesthesiology, washington university, st louis, missouri.",usa," st louis, missouri.","st louis, missouri."
"university college london, london, england.",uk (united kingdom),,
"nuffield department of primary care health sciences, radcliffe primary care bldg, university of oxford, oxford, united kingdom.",united kingdom,,
"department of ophthalmology, university of texas southwestern medical center, dallas.",usa," dallas, tx","dallas, tx"
"department of pediatrics, mcgovern medical school at the university of texas health science center at houston.",usa," houston, tx.","houston, tx."
"department of pharmacy services, university of utah health, salt lake city.",usa," salt lake city, ut","salt lake city, ut"
"richard a. and susan f. smith center for outcomes research in cardiology, division of cardiology, beth israel deaconess medical center, harvard medical school, harvard university, boston, massachusetts.",usa," Boston, Massachusetts.","Boston, Massachusetts."
"surgical outcomes and quality improvement center, department of surgery, feinberg school of medicine, northwestern university and northwestern memorial hospital, chicago, illinois2center for healthcare studies, feinberg school of medicine, northwestern un.",usa," Chicago, Illinois","Chicago, Illinois"
"royal victoria hospital, belfast, ireland.","irland

affiliation: """,,
"division of pulmonary and critical care medicine, university of kentucky, lexington.",usa," lexington, ky.","lexington, ky."
"division of infectious diseases, brigham and women's hospital, boston, massachusetts.",usa," boston, ma","boston, ma"
"department of blood transfusion, university of tokyo hospital, tokyo, japan.",japan,,
"medical intensive care unit, university of são paulo medical school, são paulo, brazil.",brazil,,
"department of otolaryngology-head and neck surgery, wayne state university school of medicine, detroit, michigan.",usa," detroit, michigan.","detroit, michigan."
"yuseikai clinic, osaka, japan.",japan,,
"erasmus mc, university medical center rotterdam, rotterdam, the netherlands.",netherlands,,
"department of obstetrics and gynecology, baylor college of medicine, houston, texas.",usa," Houston, texas.","Houston, texas."
"intermountain medical center heart institute, murray, utah2university of utah school of medicine, salt lake city.",usa," murray, utah (for Intermountain","murray, utah"
"department of oncology, addenbrooke's hospital, university of cambridge, cambridge, england.",united kingdom,,
"medical university innsbruck, innsbruck, austria.",austria,,
"department of bioengineering, school of pharmacy, university of california, san francisco.",usa," san francisco, ca","san francisco, ca"
"departments of medicine and clinical epidemiology and biostatistics and population health research institute, mcmaster university, hamilton, ontario, canada.",canada,,
"department of health promotion sciences, mel and enid zuckerman college of public health, university of arizona, tucson.",usa," tucson, az","tucson, az"
"department of medicine, gjøvik, innlandet hospital trust, norway.",norway,,
"carver college of medicine, department of ophthalmology and visual sciences, university of iowa, iowa city.",usa," iowa city, ia","iowa city, ia"
"department of radiation oncology and molecular radiation sciences, johns hopkins university school of medicine, baltimore, maryland.",usa," baltimore, maryland.","baltimore, maryland."
"division of general internal medicine, department of medicine, mayo clinic, rochester, minnesota.",usa," rochester, minnesota.","rochester, minnesota."
